,상품군별(1),운영형태별(1),날짜,거래액
100,의복,온라인 전용몰,2017.03,773722
101,의복,온·오프라인 병행몰,2017.03,269019
102,신발,온라인 전용몰,2017.03,109183
103,신발,온·오프라인 병행몰,2017.03,44111
104,가방,온라인 전용몰,2017.03,115709
105,가방,온·오프라인 병행몰,2017.03,52951
106,패션용품 및 액세서리,온라인 전용몰,2017.03,101809
107,패션용품 및 액세서리,온·오프라인 병행몰,2017.03,63868
108,스포츠·레저용품,온라인 전용몰,2017.03,203193
109,스포츠·레저용품,온·오프라인 병행몰,2017.03,54168
110,화장품,온라인 전용몰,2017.03,253968
111,화장품,온·오프라인 병행몰,2017.03,461326
112,아동·유아용품,온라인 전용몰,2017.03,240733
113,아동·유아용품,온·오프라인 병행몰,2017.03,59466
114,음·식료품,온라인 전용몰,2017.03,404941
115,음·식료품,온·오프라인 병행몰,2017.03,236730
116,농축수산물,온라인 전용몰,2017.03,105221
117,농축수산물,온·오프라인 병행몰,2017.03,88929
118,생활용품,온라인 전용몰,2017.03,467380
119,생활용품,온·오프라인 병행몰,2017.03,152114
120,자동차 및 자동차용품,온라인 전용몰,2017.03,74157
121,자동차 및 자동차용품,온·오프라인 병행몰,2017.03,7141
122,가구,온라인 전용몰,2017.03,164308
123,가구,온·오프라인 병행몰,2017.03,76379
124,애완용품,온라인 전용몰,2017.03,61067
125,애완용품,온·오프라인 병행몰,2017.03,4198
126,여행 및 교통서비스,온라인 전용몰,2017.03,459248
127,여행 및 교통서비스,온·오프라인 병행몰,2017.03,613348
128,문화 및 레저서비스,온라인 전용몰,2017.03,93762
129,문화 및 레저서비스,온·오프라인 병행몰,2017.03,44371
130,이쿠폰서비스,온라인 전용몰,2017.03,88601
131,이쿠폰서비스,온·오프라인 병행몰,2017.03,1548
132,음식서비스,온라인 전용몰,2017.03,169969
133,음식서비스,온·오프라인 병행몰,2017.03,22126
134,기타서비스,온라인 전용몰,2017.03,29603
135,기타서비스,온·오프라인 병행몰,2017.03,6343
136,기타,온라인 전용몰,2017.03,158001
137,기타,온·오프라인 병행몰,2017.03,17647
